col_factor,row_factor,found vectors,correct vectors
0.25,0.25,256,0
0.25,0.35,384,0
0.25,0.45,128,0
0.25,0.55,320,0
0.25,0.65,192,0
0.25,0.75,64,0
0.25,0.8500000000000001,128,0
0.35,0.25,320,0
0.35,0.35,64,0
0.35,0.45,256,0
0.35,0.55,128,0
0.35,0.65,0,0
0.35,0.75,192,0
0.35,0.8500000000000001,64,0
0.45,0.25,64,0
0.45,0.35,64,0
0.45,0.45,0,0
0.45,0.55,64,0
0.45,0.65,0,0
0.45,0.75,256,0
0.45,0.8500000000000001,0,0
0.55,0.25,64,0
0.55,0.35,64,0
0.55,0.45,64,0
0.55,0.55,0,0
0.55,0.65,0,0
0.55,0.75,128,0
0.55,0.8500000000000001,64,0
0.65,0.25,256,0
0.65,0.35,0,0
0.65,0.45,0,0
0.65,0.55,64,0
0.65,0.65,0,0
0.65,0.75,192,0
0.65,0.8500000000000001,192,64
0.75,0.25,64,0
0.75,0.35,0,0
0.75,0.45,0,0
0.75,0.55,64,0
0.75,0.65,0,0
0.75,0.75,64,0
0.75,0.8500000000000001,0,0
0.8500000000000001,0.25,0,0
0.8500000000000001,0.35,0,0
0.8500000000000001,0.45,128,0
0.8500000000000001,0.55,0,0
0.8500000000000001,0.65,0,0
0.8500000000000001,0.75,320,64
